cidade;data;suspeitos;confirmados;descartados;recuperados;obitos
1;2020-03-13;0;0;0;0;0
1;2020-03-14;0;0;0;0;0
1;2020-03-15;0;0;0;0;0
1;2020-03-16;0;0;0;0;0
1;2020-03-17;0;0;0;0;0
1;2020-03-18;0;0;0;0;0
1;2020-03-19;0;0;0;0;0
1;2020-03-20;26;1;49;0;0
1;2020-03-21;37;1;49;0;0
1;2020-03-22;21;1;49;0;0
1;2020-03-23;46;1;69;0;0
1;2020-03-24;77;1;69;0;0
1;2020-03-25;130;2;69;0;0
1;2020-03-26;159;2;83;0;0
1;2020-03-27;223;3;117;0;0
1;2020-03-28;240;4;145;0;0
1;2020-03-29;234;6;177;0;0
1;2020-03-30;269;8;178;0;0
1;2020-03-31;322;10;178;0;0
1;2020-04-01;393;11;183;0;0
1;2020-04-02;413;11;183;0;0
1;2020-04-03;432;19;200;0;0
1;2020-04-04;440;27;228;0;0
1;2020-04-05;439;28;228;4;1
1;2020-04-06;495;29;228;4;1
1;2020-04-07;530;47;273;23;1
1;2020-04-08;518;95;456;23;1
1;2020-04-09;562;97;488;51;1
1;2020-04-10;608;146;576;53;1
1;2020-04-11;626;172;587;83;3
1;2020-04-12;626;172;587;83;3
1;2020-04-13;627;205;832;98;3
